probe	filter_type	ar_method	period_number	period	amplitude	phase	phi	R_square	R2_adjust	coef_var	pvalue
262801_at	0	mle	1	23.62130178	0.294841218	7.971386088	-2.120361376	0.752759132	0.703310958	0.225217073	0.00092385
259840_at	1	default	1	24	0.21860693	3.597569254	-0.941841428	0.752663249	0.703195899	0.179202369	0.000925642
256822_at	1	mle	1	21.81420765	0.221790152	16.1467797	1.632399426	0.752670748	0.703204898	0.182807341	0.000925502
264270_at	1	mle	1	23.48235294	0.271746973	16.73490141	1.805419091	0.752585027	0.703102032	0.242993983	0.000927107
259363_at	0	yule-walker	1	24.19393939	0.505863914	13.14506673	2.869401019	0.752606108	0.703127329	0.421662401	0.000926712
264271_at	0	mle	1	24.04819277	0.497929563	21.50909088	0.663403185	0.752437487	0.702924984	0.421778992	0.000929875
248021_at	1	yule-walker	1	23.20930233	0.212814873	23.05629034	0.041423162	0.752336248	0.702803497	0.186154579	0.000931778
251665_at	0	burg	1	23.90419162	0.285382919	1.911429474	-0.502416722	0.752163934	0.70259672	0.258757345	0.000935024
264696_at	0	burg	1	23.76190476	0.39121201	23.17599211	0.154928563	0.752069613	0.702483536	0.316368554	0.000936804
265715_s_at	0	mle	1	25.10691824	0.17619315	13.72747364	2.847787149	0.751946003	0.702335203	0.143603384	0.000939142
265389_at	0	burg	1	22.68181818	0.328034277	17.46767169	1.444392524	0.751902534	0.702283041	0.274928501	0.000939965
255822_at	1	mle	1	22.42696629	0.533316751	8.82767405	-2.473179438	0.751491024	0.701789229	0.460758671	0.000947786
263082_at	0	burg	1	21.12169312	0.284170736	15.37474353	1.709576455	0.751595164	0.701914197	0.229307124	0.000945802
262186_at	0	yule-walker	1	23.48235294	0.644622172	3.067122318	-0.820671503	0.751721919	0.702066303	0.451388262	0.000943391
263760_at	0	mle	1	23.07514451	0.146817263	21.17216073	0.518167923	0.751689168	0.702027002	0.129911866	0.000944014
254850_at	1	burg	1	21.23404255	0.250206746	2.720619123	-0.805035313	0.751683779	0.702020535	0.222647294	0.000944116
257981_at	1	mle	1	22.81142857	0.13956425	9.776904028	-2.692952769	0.751505848	0.701807017	0.125578874	0.000947504
252880_at	0	yule-walker	1	22.42696629	0.208364763	1.055634987	-0.295748883	0.751509324	0.701811188	0.172394846	0.000947437
246074_at	0	mle	1	21.01052632	0.143533942	17.82085571	0.953869083	0.751565803	0.701878963	0.115038573	0.000946361
260264_at	1	mle	1	23.07514451	0.072701585	18.25736596	1.311844238	0.751591967	0.70191036	0.136880851	0.000945863
263867_at	1	mle	1	21.46236559	0.173648414	1.522918975	-0.445840049	0.751485246	0.701782295	0.177351973	0.000947896
248751_at	1	burg	1	20.47179487	0.131721007	0.81867014	-0.251265521	0.751414233	0.701697079	0.127625442	0.000949252
263779_at	0	burg	1	22.17777778	0.219966527	2.625088746	-0.743713784	0.751336964	0.701604357	0.190766543	0.000950728
256964_at	0	burg	1	23.34502924	0.100985427	1.573640722	-0.423536684	0.751319432	0.701583318	0.085917625	0.000951063
258729_at	1	mle	2	"24.6419753086,27.156462585"	"0.75865954946,0.521533295525"	"21.818005257,2.87648021007"	-0.66553065	0.879505209	0.819257813	0.328654316	0.000952404
245982_at	0	yule-walker	1	23.34502924	0.906961361	0.991936805	-0.266974297	0.751245353	0.701494423	0.657985307	0.00095248
256117_at	1	mle	1	23.48235294	0.178645959	8.752868963	-2.34200967	0.75112655	0.70135186	0.134297246	0.000954757
260317_at	1	mle	1	22.81142857	0.376997367	7.75056399	-2.134817187	0.750939349	0.701127219	0.284232234	0.000958353
251664_at	0	burg	1	20.26395939	0.245492271	9.109853754	-2.824665119	0.750884993	0.701061992	0.200031416	0.000959399
259344_at	1	default	1	24	0.262724321	14.07781225	2.597622677	0.750780828	0.700936993	0.229906748	0.000961407
259431_at	1	mle	1	23.20930233	0.197170658	7.778792252	-2.105862231	0.750738269	0.700885923	0.170296902	0.000962228
247415_at	1	mle	1	22.05524862	0.268348155	0.575011045	-0.163811391	0.750645446	0.700774535	0.195521121	0.000964021
